listing_id,listing_name,platform,listing_url,location,bedrooms,bathrooms,guests,beds,rating,review_count,hot_tub,arcade_game_room,fireplace,resort_amenities,pet_friendly,ev_charger,source_observed_at,source_label,snapshot_notes
airbnb-24113496,"Sleepy Bear Retreat — 2 Bed Cabin, Hot Tub, Views",Airbnb,https://www.airbnb.com/rooms/24113496,Sevierville,2,2,6,2,,,True,True,True,False,False,False,2026-07-28,Public listing metadata,"Public page described Pac-Man/touchscreen games, two master suites and sofa bed."
airbnb-930247369236700271,Almost Heaven 2 — Hot Tub and Pool Table,Airbnb,https://www.airbnb.com/rooms/930247369236700271,Pigeon Forge,2,2,6,3,4.55,49,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1266883670021125263,Last Chance Summer Deals — Hot Tub & Retro Arcade,Airbnb,https://www.airbnb.com/rooms/1266883670021125263,Sevierville,2,2,6,4,4.94,89,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-688613294900292314,"Spring Special — Hot Tub, Games, Near Dollywood",Airbnb,https://www.airbnb.com/rooms/688613294900292314,Sevierville,2,,6,3,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1216108020635667756,Hot Tub • Game Room • Pet-Friendly • King Suite,Airbnb,https://www.airbnb.com/rooms/1216108020635667756,Sevierville,2,2,6,2,4.83,23,True,True,False,False,True,False,2026-07-28,Public listing metadata,
airbnb-800986263661042555,Cozy 2 Bedroom Cabin with Kids Loft and Hot Tub,Airbnb,https://www.airbnb.com/rooms/800986263661042555,Pigeon Forge,2,,6,4,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1338525206438528718,"Modern Cabin — Views, Hot Tub, Arcade",Airbnb,https://www.airbnb.com/rooms/1338525206438528718,Sevierville,2,2,6,3,4.99,69,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1400442524915144132,Mountain Falls 6 — Hot Tub Near Smoky Mountains,Airbnb,https://www.airbnb.com/rooms/1400442524915144132,Sevierville,2,2,6,2,4.97,32,True,False,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-949280866536435823,Game Room and Hot Tub — 4 Miles to Dollywood,Airbnb,https://www.airbnb.com/rooms/949280866536435823,Sevierville,2,,5,,,,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-22506970,"Hot Tub, Game Room — 5 Min to The Island",Airbnb,https://www.airbnb.com/rooms/22506970,Pigeon Forge,2,,6,3,,,True,True,True,False,False,False,2026-07-28,Public listing metadata,
airbnb-1386908699440499060,Autumn on Sunrise — Hot Tub and Arcade,Airbnb,https://www.airbnb.com/rooms/1386908699440499060,Sevierville,2,2,8,4,4.87,47,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1277680145050686238,"20 Private Acres — Hot Tub, Fire Pit & Games",Airbnb,https://www.airbnb.com/rooms/1277680145050686238,Sevierville,2,,6,2,,,True,True,True,False,False,False,2026-07-28,Public listing metadata,
airbnb-48417646,"Smoky Mountain Views — Pool Table, Game Room, Sleeps 6",Airbnb,https://www.airbnb.com/rooms/48417646,Sevierville,2,2,6,5,4.91,315,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-40067714,"Stoneybrook Mountain Lodge — 2 King Suites, Dogs OK",Airbnb,https://www.airbnb.com/rooms/40067714,Pigeon Forge,2,,6,3,,,True,False,True,False,True,False,2026-07-28,Public listing metadata,
airbnb-921972111077657081,"Peaceful Stay — Sleeps 6, Hot Tub, Arcade",Airbnb,https://www.airbnb.com/rooms/921972111077657081,Sevierville,2,2.5,6,3,4.58,516,True,True,False,False,False,False,2026-07-28,Public listing metadata,
airbnb-1151751193319654015,"Private 2BR Cabin — Great Location, Sleeps 6",Airbnb,https://www.airbnb.com/rooms/1151751193319654015,Sevierville,2,2,6,3,4.92,86,True,False,False,False,False,False,2026-07-28,Public listing metadata,
